handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,2
consumer-production-1.mback-fulfillment-consumer.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,2
production.sc-bulk-sku-middle-end-off.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,2
prod.c3po-middleend.newrelic,1
handle-errors-production.mback-sefaz-consumer.job_error,1
prod.c3po-middleend.newrelic,2
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,2
production.mback-sefaz-api.newrelic,1
consumer-production-1.mback-sefaz-consumer.newrelic,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,3
production.mback-invoice-api.newrelic,1
production.mback-sefaz-api.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,9
production.mback-invoice-calc.newrelic,2
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,2
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
production.sc-bulk-sku-middle-end-off.newrelic,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
production.mback-sefaz-api.[Triggered] MBACK - Batch status failures > 1 %,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
production.mback-invoice-api.newrelic,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,4
production.mback-sefaz-api.[Triggered] MBACK - Batch status failures > 1 %,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,4
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,2
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,1
production.mback-invoice-api.newrelic,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
production.mback-inbound-invoices.newrelic,3
production.mback-inbound-invoices.newrelic,7
consumer-production-1.mback-shipment-agent.[Triggered] MBACK - Shipment agent failures > 1 %,1
production.mback-sefaz-api.newrelic,3
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,4
production.mback-carrier-api.newrelic,1
production.mback-inbound-invoices.newrelic,9
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,1
consumer-production-1.mback-fulfillment-consumer.newrelic,4
prod.c3po-middleend.newrelic,2
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
production.mback-pdf-generator-api.newrelic,1
production.mback-inbound-invoices.newrelic,38
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,1
consumer-production-1.mback-fulfillment-consumer.newrelic,3
production.mback-inbound-invoices.newrelic,1
bq-user-consumer-production.mback-invoice-compliance.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
production.mback-invoice-compliance.newrelic,1
production.mback-inbound-invoices.newrelic,8
prod.c3po-middleend.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
production.mback-sefaz-api.[Triggered] MBACK - Batch status failures > 1 %,1
production.mback-invoice-calc.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
prod.c3po-middleend.newrelic,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,5
prod.c3po-middleend.newrelic,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
production.mback-invoice-api.newrelic,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,2
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,2
production.mback-inbound-invoices.newrelic,2
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
production.mback-inbound-invoices.newrelic,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,1
prod.batch-tax.newrelic,1
consumer-production-1.mback-sefaz-consumer.newrelic,1
prod.c3po-middleend.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,2
production.mback-inbound-invoices.newrelic,3
consumer-production-1.mback-sefaz-consumer.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,4
production.mback-invoice-api.newrelic,3
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
production.mback-invoice-api.newrelic,1
production.invoice-preferences.newrelic,1
consumer-production-1.mback-invoice-message-agent.newrelic,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,10
production.mback-invoice-api.newrelic,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,9
production.mback-inbound-invoices.newrelic,2
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,2
handle-errors-production.mback-sefaz-consumer.[Triggered] Alarm for mback-sefaz-consumer - Unprocessable errors in production,1
production.mback-invoice-api.[Triggered] MBACK - Save invoice failures > 1 %,1
shipment-production.mback-fulfillment-consumer.[Triggered] MBACK - Fulfillment consumer failures > 1 %,2
